,total_population,median_household_income,population_below_poverty,renter_occupied_units,total_occupied_units,white_population,black_population,hispanic_population,county_fips,tract_code,prop_poverty,prop_renter,prop_nonwhite
97,1284,20046,692,163,509,22,1261,0,510,150300,0.5389408099688473,0.32023575638506874,0.9828660436137072
98,3529,42266,499,881,1411,117,3279,44,510,150400,0.14139982998016434,0.6243798724309001,0.966846132048739
99,1376,45357,391,375,662,47,1141,97,510,150500,0.28415697674418605,0.5664652567975831,0.965843023255814
100,2840,28932,1121,1028,1339,32,2781,10,510,150600,0.3947183098591549,0.7677371172516804,0.9887323943661972
101,1901,57875,236,190,630,0,1860,0,510,150701,0.12414518674381904,0.30158730158730157,1.0
102,1748,47098,555,217,727,0,1730,18,510,150702,0.31750572082379863,0.2984869325997249,1.0
103,2478,38337,400,664,1159,84,2326,0,510,160600,0.16142050040355124,0.5729076790336497,0.9661016949152542
104,2299,45848,645,440,816,143,2076,11,510,271802,0.2805567638103523,0.5392156862745098,0.937799043062201
105,3216,62247,342,423,1418,841,1981,0,510,271900,0.10634328358208955,0.29830747531734836,0.7384950248756219
106,6166,49697,1238,780,1924,241,5470,374,510,151000,0.20077846253649043,0.40540540540540543,0.9609146934803763
107,6350,59264,1092,611,2797,159,5956,135,510,151100,0.17196850393700788,0.21844833750446907,0.9749606299212599
108,5176,51888,916,1117,2014,69,4622,134,510,150800,0.17697063369397217,0.554617676266137,0.9866692426584235
109,2319,72654,302,359,857,1525,512,100,510,250206,0.13022854678740836,0.41890315052508753,0.34238896075894787
110,1907,50125,335,744,836,56,1664,122,510,250207,0.17566858940744626,0.8899521531100478,0.9706345044572627
111,2238,28750,1097,500,798,159,1993,49,510,250301,0.49016979445933867,0.6265664160401002,0.9289544235924933
112,1952,45139,409,366,733,1200,390,129,510,250303,0.20952868852459017,0.49931787175989084,0.38524590163934425
113,4398,45044,905,900,1481,1787,1057,1205,510,250401,0.20577535243292405,0.6076975016880486,0.5936789449749886
114,3803,32385,1841,908,1525,1026,1573,949,510,250402,0.4840915067052327,0.5954098360655737,0.7302129897449382
115,6340,71584,454,989,2129,3841,1904,191,510,272003,0.07160883280757098,0.46453734147487086,0.3941640378548896
116,3074,52500,559,453,1176,74,2755,203,510,280101,0.18184775536759923,0.3852040816326531,0.9759271307742355
117,6619,53373,1497,902,2460,125,5879,431,510,280102,0.2261670947273002,0.36666666666666664,0.9811149720501586
118,5563,68750,884,357,1638,263,4998,40,510,280200,0.15890706453352507,0.21794871794871795,0.9527233507100485
119,3543,67500,266,891,1324,100,3255,24,510,280302,0.0750776178379904,0.6729607250755287,0.9717753316398532
120,2715,114630,428,725,1404,1583,611,195,510,030200,0.1576427255985267,0.5163817663817664,0.41694290976058934
121,5901,67277,869,4047,4193,2079,2242,576,510,040100,0.14726317573292663,0.9651800620081088,0.6476868327402135
122,1281,40625,350,392,406,500,484,62,510,040200,0.273224043715847,0.9655172413793104,0.60967993754879
123,1894,44735,490,618,880,960,590,45,510,060400,0.2587117212249208,0.7022727272727273,0.49313621964097154
124,2571,54506,859,358,713,34,2151,224,510,070100,0.33411124076234927,0.5021037868162693,0.9867755737067289
125,3229,36818,1271,561,992,128,2295,312,510,070200,0.3936203158872716,0.5655241935483871,0.9603592443480954
126,1120,48083,237,248,371,72,874,13,510,070300,0.21160714285714285,0.6684636118598383,0.9357142857142857
127,1589,25000,435,731,764,108,1138,84,510,070400,0.2737570799244808,0.9568062827225131,0.9320327249842668
128,4251,42073,855,925,2057,1732,1650,554,510,250500,0.20112914608327453,0.44968400583373846,0.5925664549517761
129,5100,68052,383,843,1926,1333,3234,306,510,260101,0.07509803921568628,0.43769470404984423,0.7386274509803922
130,4840,64446,381,455,1911,415,4161,122,510,260102,0.0787190082644628,0.23809523809523808,0.9142561983471075
131,5544,49574,646,1709,2413,750,4462,136,510,260201,0.11652236652236653,0.7082469954413593,0.8647186147186148
132,3065,58988,248,452,1486,572,2365,42,510,280401,0.08091353996737358,0.3041722745625841,0.8133768352365416
133,4171,51728,630,889,1864,813,2704,555,510,280403,0.15104291536801726,0.476931330472103,0.8050827139774634
134,2816,40156,959,677,1131,185,2523,53,510,280404,0.3405539772727273,0.5985853227232537,0.9343039772727273
135,3752,72694,409,449,1393,1133,2218,280,510,080101,0.10900852878464819,0.3223259152907394,0.6980277185501066
136,1804,30440,735,353,663,57,1702,5,510,080102,0.4074279379157428,0.5324283559577677,0.9684035476718403
137,757,48631,292,118,348,3,745,9,510,080200,0.3857331571994716,0.3390804597701149,0.9960369881109643
138,1988,45727,301,371,902,118,1820,0,510,080302,0.15140845070422534,0.4113082039911308,0.9406438631790744
139,1027,36029,198,296,456,34,985,0,510,080400,0.19279454722492698,0.6491228070175439,0.9668938656280428
140,1446,25529,629,276,527,139,1240,0,510,080500,0.43499308437067774,0.523719165085389,0.9038727524204703
141,1302,37596,407,381,591,29,1189,67,510,080600,0.31259600614439326,0.6446700507614214,0.977726574500768
142,3770,59701,654,753,1639,383,3184,55,510,090100,0.17347480106100796,0.45942647956070776,0.8984084880636605
143,3721,68112,666,898,1496,1940,865,153,005,411408,0.17898414404729912,0.6002673796791443,0.47863477559795753
144,2446,142237,151,243,978,1844,85,215,005,490603,0.06173344235486509,0.24846625766871167,0.24611610793131644
145,1679,166250,54,4,565,1381,5,164,005,401400,0.03216200119118523,0.007079646017699115,0.17748659916617038
146,6030,101875,293,376,2524,663,4879,146,005,402603,0.04859038142620232,0.14896988906497624,0.890049751243781
147,4399,138700,316,372,1794,3356,579,176,005,404900,0.07183450784269152,0.20735785953177258,0.23709934075926342
148,4699,120000,124,242,1694,4491,88,49,005,405000,0.026388593317727176,0.14285714285714285,0.04426473717812296
149,4113,154803,101,209,1491,3475,195,321,005,411202,0.024556284950158037,0.14017437961099932,0.15511791879406756
150,6599,107603,490,836,2623,4721,1005,289,005,411303,0.07425367479921201,0.31871902401829966,0.2845885740263676
151,3928,66359,370,713,1367,354,3257,88,005,441000,0.09419551934826884,0.5215801024140454,0.909877800407332
152,5002,82108,592,254,1966,2487,1333,526,005,441102,0.11835265893642544,0.12919633774160733,0.502798880447821
153,1839,59399,447,135,792,1480,182,121,005,421200,0.24306688417618272,0.17045454545454544,0.1952147906470908
154,2434,138750,24,113,836,1546,495,28,005,440600,0.009860312243221035,0.13516746411483255,0.36483155299917835
155,4160,70250,386,190,1648,3170,494,218,005,451200,0.09278846153846154,0.11529126213592233,0.23798076923076927
156,3959,66811,320,298,1777,3042,336,237,005,451802,0.08082849204344532,0.16769836803601576,0.231624147511998
157,3571,61477,278,129,1250,3095,161,42,005,452400,0.07784934192103052,0.1032,0.13329599551946236
158,4398,61471,200,1184,2316,3133,566,109,005,400100,0.04547521600727603,0.5112262521588946,0.28763074124602095
159,3237,237537,101,27,1215,2619,236,25,005,408303,0.031201729996910718,0.022222222222222223,0.190917516218721
160,5683,120203,189,193,2039,5010,119,223,005,407002,0.03325708252683442,0.0946542422756253,0.11842336793946862
161,3282,126250,249,35,1143,2954,24,44,005,407001,0.07586837294332724,0.03062117235345582,0.09993906154783672
162,8877,117704,174,360,3202,6350,733,331,005,411309,0.019601216627238932,0.11242973141786383,0.2846682437760505
163,4512,132547,76,88,1565,2921,743,298,005,411308,0.016843971631205674,0.05623003194888179,0.35261524822695034
164,2962,98068,249,407,1269,1699,1064,92,005,430200,0.08406482106684672,0.3207249802994484,0.4264010803511141
165,4841,111941,339,140,1785,2549,459,352,005,411410,0.07002685395579426,0.0784313725490196,0.47345589754183015
166,3475,73934,200,157,1313,2822,0,398,005,420100,0.05755395683453238,0.11957349581111958,0.18791366906474816
167,3308,84438,245,360,1575,2575,170,268,005,420200,0.07406287787182587,0.22857142857142856,0.22158403869407495
168,2335,48705,445,652,1035,1516,340,190,005,420301,0.1905781584582441,0.629951690821256,0.3507494646680942
169,2422,65733,368,421,903,1726,277,177,005,420302,0.15194054500412882,0.46622369878183834,0.2873658133773741
170,1158,94423,126,65,508,990,127,0,005,420303,0.10880829015544041,0.1279527559055118,0.14507772020725385
171,7426,56477,2180,1320,2222,3444,2960,852,005,420401,0.2935631564772421,0.594059405940594,0.5362240775653111
